c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
87496163,7450.433909834494,2.344552774665282,41,243,0.0314686742146722,16.872427983539097,36.54618473895582
804089919,7374.499704592649,2.21975009499145,66,243,0.0301003482800202,27.160493827160494,36.74698795180723
1850954042,4168.61632573463,1.2380870645849102,75,243,0.0297001922902253,30.8641975308642,36.94779116465863
834632262,3915.1805958018185,1.1577094863453965,122,243,0.0295697595044986,50.20576131687243,37.148594377510044
183707077,4531.062466251259,1.3259733240949296,39,243,0.0292640707112555,16.049382716049383,37.34939759036144
1276618490,3889.055529635338,1.1344395388841586,47,243,0.0291700524777678,19.34156378600823,37.55020080321285
1929479010,4356.936300718123,1.2458151471700651,43,243,0.0285938343180442,17.695473251028808,37.75100401606426
1957632742,2418.7182580923795,0.6897597677755688,60,243,0.0285175739451181,24.69135802469136,37.95180722891566
1469982823,4304.508458533133,1.163296560517774,65,243,0.0270250731697759,26.74897119341564,38.152610441767074
1709888896,6416.617956608719,1.720805161737745,44,243,0.0268179463601292,18.106995884773664,38.35341365461847
1904566752,1577.0687083652656,0.4174048334096458,33,243,0.0264671305185119,13.580246913580249,38.55421686746988
97140845,4284.36587989125,1.1205677298198211,40,243,0.0261548093984976,16.46090534979424,38.75502008032129
11849250,5325.929756885306,1.3919034913404889,36,243,0.0261344695645121,14.814814814814811,38.95582329317269
1219380515,4172.757440844317,1.0864457934860614,46,243,0.0260366390543474,18.93004115226337,39.1566265060241
493630217,3594.3100423536325,0.9032987013199376,45,243,0.0251313517942497,18.51851851851852,39.3574297188755
900129773,2136.1377743208154,0.5360828361162073,45,243,0.0250958923418062,18.51851851851852,39.558232931726906
1443317220,3887.880348874528,0.9701336803573728,111,243,0.0249527658596337,45.67901234567901,39.75903614457831
1502333872,5521.14228617952,1.371836179534459,38,243,0.0248469629730142,15.637860082304528,39.959839357429715
715451692,3748.247658396044,0.9164479618511628,34,243,0.0244500376008593,13.991769547325102,40.16064257028113
5256256,6309.624266143677,1.508544413800705,45,243,0.0239086251442147,18.51851851851852,40.36144578313253
1506524479,4003.4376794186687,0.9437238934597912,83,243,0.0235728383711677,34.15637860082305,40.562248995983936
253180398,5463.053989954317,1.2783001385352455,52,243,0.02339900247894,21.39917695473251,40.76305220883534
481355415,4984.525364525043,1.1560797808090837,27,243,0.0231933774284092,11.11111111111111,40.963855421686745
187402380,3445.9891916587703,0.7944076798959572,33,243,0.0230531100277061,13.580246913580249,41.164658634538156
1963524104,6733.256364408107,1.5486187702074163,49,243,0.0229995515749762,20.16460905349794,41.365461847389554
1562128344,4239.798589478383,0.9603770920057628,68,243,0.0226514791148113,27.983539094650205,41.566265060240966
1967552706,4185.660371657475,0.9457458688059472,83,243,0.0225949022335857,34.15637860082305,41.76706827309237
2145391109,7422.41015522059,1.6719291726374617,40,243,0.0225254214961632,16.46090534979424,41.967871485943775
1695134492,4132.374501659264,0.9193564323341592,84,243,0.0222476552394999,34.5679012345679,42.168674698795186
2059286195,2138.0498282931258,0.4753628472994829,50,243,0.0222334784254761,20.5761316872428,42.369477911646584
1831940935,6175.177272552416,1.348222381413012,38,243,0.0218329340504219,15.637860082304528,42.570281124497996
1463962930,3838.20889543032,0.8341531905292418,53,243,0.0217328762778483,21.81069958847737,42.77108433734939
1017508702,3711.9780287539234,0.8042535397516835,47,243,0.0216664412752912,19.34156378600823,42.971887550200805
2024787561,5955.792681676127,1.2671071508250942,54,243,0.0212752058130487,22.22222222222222,43.17269076305221
868206338,7396.261211878103,1.542133821727708,50,243,0.0208501806189741,20.5761316872428,43.373493975903614
902742197,2154.8862142510843,0.4338353078686208,45,243,0.0201326318299083,18.51851851851852,43.57429718875502
1330053407,5488.118534532183,1.098514415837133,54,243,0.0200162297684551,22.22222222222222,43.77510040160642
269285720,3168.3542939251624,0.6276653445884649,62,243,0.019810453199376,25.514403292181072,43.97590361445783
